Zip Code;Latitude;Longitude;Area;Basic debt DOY. Control Centers;Basic Customs debt;State revenues;Total State;Basic debt e-EFKA;Collected e-EFKA;Total e-EFKA
11142;38.0229304;23.7494423;ATHINA ;4267951.80;0;7376011.77;11643963.57;0;0;0
10437;37.9844383;23.7281172;ATHINA ;12576203.33;0;25152123.20;37728326.53;23076403.17;43997859.18;67074262.35
10437;37.9844383;23.7281172;ATHINA ;15631196.23;0;30645757.41;46276953.64;0;0;0
10437;37.9844383;23.7281172;ATHINA ;6783457.13;0;7805566.54;14589023.67;0;0;0
10437;37.9844383;23.7281172;ATHINA ;4086431.89;0;8380195.68;12466627.57;263253.95;498546.62;761800.57
13561;38.0281846;23.718402899999997;AG ANARGYROI;0;329293474.44;464902514.39;794195988.83;0;0;0
13561;38.0281846;23.718402899999997;AG ANARGYROI;7063607.64;0;13710997.80;20774605.44;0;0;0
10438;39.29853170000001;22.3844827;ATHINA ;113081837.02;0;56327622.80;169409459.82;0;0;0
10438;39.29853170000001;22.3844827;ATHINA ;16791722.75;0;27180504.25;43972227.00;368470.77;703473.62;1071944.39
10438;39.29853170000001;22.3844827;ATHINA ;10208298.40;0;15295682.45;25503980.85;0;0;0
10438;39.29853170000001;22.3844827;ATHINA ;5140826.37;0;10281197.15;15422023.52;0;0;0
19100;37.9943201;23.3430496;MEGARA ;0;329293474.44;464902514.39;794195988.83;0;0;0
19100;37.9943201;23.3430496;MEGARA ;0;117722440.72;80506206.54;198228647.26;0;0;0
19100;37.9943201;23.3430496;MEGARA ;0;127252666.79;65459182.86;192711849.65;0;0;0
10439;39.29853170000001;22.3844827;ATHINA ;18918913.31;0;21141576.69;40060490.00;0;0;0
10439;39.29853170000001;22.3844827;ATHINA ;11324575.69;0;17079855.85;28404431.54;0;0;0
54625;40.6358912;22.9372038;THESSALONIKI ;26245005.05;227502107.31;474109959.85;727857072.21;0;0;0
54625;40.6358912;22.9372038;THESSALONIKI ;0;227502107.31;451504196.60;679006303.91;0;0;0
54625;40.6358912;22.9372038;THESSALONIKI ;199591234.37;0;113532087.92;313123322.29;6036577.75;5175638.20;11212215.95
54625;40.6358912;22.9372038;THESSALONIKI ;47271495.87;0;21334582.23;68606078.10;432359.02;394783.83;827142.85
54625;40.6358912;22.9372038;THESSALONIKI ;8633069.33;2857073.57;8433270.54;19923413.44;0;0;0
54625;40.6358912;22.9372038;THESSALONIKI ;3751978.83;4372760.56;9144866.01;17269605.40;0;0;0
54625;40.6358912;22.9372038;THESSALONIKI ;3708366.86;44526.26;7237945.56;10990838.68;1030179.14;1924225.29;2954404.43
54625;40.6358912;22.9372038;THESSALONIKI ;3903942.08;0;7809497.16;11713439.24;0;0;0
54625;40.6358912;22.9372038;THESSALONIKI ;3850300.62;0;7791328.56;11641629.18;0;0;0
10440;39.29853170000001;22.3844827;ATHINA ;93358107.51;0;104641860.77;197999968.28;0;0;0
10440;39.29853170000001;22.3844827;ATHINA ;3640523.33;0;7280041.70;10920565.03;0;0;0
18531;37.9447711;23.6432507;PEIRAIAS ;217813848.10;448094.20;403864481.20;622126423.50;161626.02;274863.60;436489.62
